                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.3622,                0.96883,                 1.2934,                0.64268,                0.50543,                0.44856,                0.26328,                 1.5244,                 1.0594,                 1.4643,              0.0097672,              0.0097672,              0.0097672
                     51,                 1.3366,                0.95099,                 1.2763,                0.40495,                 0.4644,                0.46463,                0.27152,                 1.5817,                 1.1071,                 1.5021,              0.0097577,              0.0097577,              0.0097577
                     52,                 1.3573,                0.95864,                 1.2866,                0.73452,                0.47571,                0.49055,                0.26897,                 1.5733,                 1.0825,                 1.5211,               0.009748,               0.009748,               0.009748
                     53,                 1.3902,                0.97106,                 1.3005,                0.65938,                0.41353,                0.42042,                0.24282,                 1.5441,                 1.0523,                 1.4815,              0.0097381,              0.0097381,              0.0097381
                     54,                 1.3493,                0.95338,                  1.277,                0.60131,                0.47279,                0.45089,                0.26316,                 1.5702,                 1.0811,                 1.5073,              0.0097281,              0.0097281,              0.0097281
                     55,                 1.3571,                0.96361,                 1.2835,                0.67354,                0.47007,                 0.4618,                0.27667,                 1.5531,                 1.1136,                 1.4981,              0.0097178,              0.0097178,              0.0097178
                     56,                 1.3467,                0.96558,                 1.2781,                0.64898,                0.48036,                0.43907,                0.25852,                 1.5717,                 1.0461,                 1.4985,              0.0097074,              0.0097074,              0.0097074
                     57,                 1.3359,                0.93819,                 1.2605,                0.62448,                0.42015,                0.42751,                 0.2406,                 1.5722,                 1.0856,                 1.5055,              0.0096967,              0.0096967,              0.0096967
                     58,                 1.3399,                0.93676,                 1.2752,                0.79955,                0.40227,                0.44335,                0.26447,                 1.5613,                 1.0443,                 1.5003,              0.0096859,              0.0096859,              0.0096859
                     59,                 1.3416,                 0.9415,                  1.273,                0.71032,                0.48213,                 0.4768,                0.27202,                 1.5562,                 1.0822,                 1.5078,              0.0096749,              0.0096749,              0.0096749
                     60,                 1.3344,                0.94054,                 1.2687,                0.69247,                0.45217,                0.46418,                0.27715,                  1.575,                 1.1069,                 1.5223,              0.0096638,              0.0096638,              0.0096638
                     61,                 1.3469,                 0.9395,                 1.2723,                0.74624,                0.45771,                0.47626,                0.26712,                  1.552,                 1.0663,                 1.5142,              0.0096524,              0.0096524,              0.0096524
                     62,                 1.3432,                0.93127,                 1.2707,                0.54371,                0.46858,                0.46129,                0.25874,                 1.5827,                 1.1246,                  1.528,              0.0096409,              0.0096409,              0.0096409
                     63,                 1.3328,                0.94473,                 1.2716,                0.68419,                0.44894,                0.45432,                0.25581,                 1.5594,                 1.1769,                 1.5116,              0.0096291,              0.0096291,              0.0096291
